(Do Not Modify) Licence,(Do Not Modify) Modified On,(Do Not Modify) Row Checksum,Contact Email,Contact Phone Number,Establishment Address City,Establishment Address Postal Code,Establishment Address Street,Investigated / Applied Online,LG / IN,Licence Type,Licensee,Name,Notes,Website URL
a34cdabb-9673-eb11-b81b-005056832174,"May 13, 2025 8:00 PM (PDT)",oYeemBGeVRe/ulwkmUJ5xbYjjPl7WCm5pgBMj0R8wYhJQL2X/H2WpOh8RCfdNJl69lPpldt4xdHbEu1x3833JQ==,,,RADIUM HOT SPRINGS,V0A1M0,7538 Main St E,No,East Kootenay Regional District,Liquor Primary,PLG HOLDINGS INC.,Horsethief Creek Pub & Eatery (114607),,
7ec7f19f-4573-eb11-b81b-005056832755,"March 21, 2025 6:00 AM (PDT)",lpjT+79uNkQ3/FD2FddBMGQ4SPdg/+yXwG5txWc/zp/abVz25IEjcZy+MVwWxwblq7DaGuDYvlY6r5Bo+aeW8A==,,,REVELSTOKE,V0E2S1,3241 2950 Camozzi Road,No,Revelstoke (City of),Liquor Primary,Northland Properties Corporation,Mackenzie Common Tavern (304629),,
30d0f19f-4573-eb11-b81b-005056832755,"April 9, 2025 8:27 PM (PDT)",tAWZiS9KdCYinnLsAw2CAk2VQSrdWq9XVEOnAeo2dopaGMId2dRs9Azz7ZH8co1AVNXhrtlKr1HlLE9a+4Bz5g==,,,REVELSTOKE,V0E2S0,107  2nd St E,No,Revelstoke (City of),Liquor Primary,Trevor James Roberts,Craft Bierhaus Revelstoke (304412),,
114bdabb-9673-eb11-b81b-005056832174,"April 1, 2025 11:10 PM (PDT)",nJFyr0bElgIfWzmZi4ydTN8xlf2WRW77680UHKu9opQJgmpwV8hqKYknFmT1QrlMJvzs+ObNGHeJCUhXNLU5dQ==,,,REVELSTOKE,V0E2S0,314 1ST STREET WEST,No,Revelstoke (City of),Liquor Primary,1369014 B.C. LTD.,"Seoul Street ",,
34d6f19f-4573-eb11-b81b-005056832755,"June 25, 2024 8:00 PM (PDT)",Om4RLXyzeOl7ZdFuBiYZ7+s0eeQ/DkXFAXQJKBJ5emxR81i73tHXgeY0QYzA8S8S/cTMyCKxylnqd6hZ2+lZWQ==,,,REVELSTOKE,V0E2S0,1871 Glacier Lane,No,Revelstoke (City of),Liquor Primary,GLACIER HOUSE RESORT LTD.,GLACIER HOUSE RESORT (215011),,
84d1f19f-4573-eb11-b81b-005056832755,"July 2, 2024 8:00 PM (PDT)",YBBdSIetjYzL7h/sThp/25lphq45tARMP5Z9kWugg9FZcT4A1Jv7HPAkVH1vZOMHEXT9546A40HhqXj0ruoQcw==,,,REVELSTOKE,V0E2S0,2100 OAK DRIVE,No,Revelstoke (City of),Liquor Primary,THE HILLCREST RESORT HOTEL LTD.,HILLCREST RESORT HOTEL (189536),,
5ccaf19f-4573-eb11-b81b-005056832755,"May 28, 2025 4:52 PM (PDT)",mEf7VtEyk56Iu/UdWrNOfyDNAIZztYIXFz79lSWvpGhZjUtuvw0q702DrXJYL9P+NKCG4j7NIW72qVAUg/IJ1g==,,,REVELSTOKE,V0E2S0,200 E FIRST ST,No,Revelstoke (City of),Liquor Primary,BLACK SHEEP RESTAURANT GROUP LTD.,Cantina del Centro,,
f27cd2c1-9673-eb11-b81b-005056832174,"May 6, 2025 10:32 PM (PDT)",mr2vsbi+NH5gwAL/kV7gLg38kc5MtxOmq52WLd9ixZ7f8tOnIKtwSo7zGOFZpJfo3MofHZr4KIib2A+xi5YmfA==,,,REVELSTOKE,V0E2S0,112 1st St  E,No,Revelstoke (City of),Liquor Primary,Beruschi Enterprises Ltd.,Regent Lounge (068336),,
174cdabb-9673-eb11-b81b-005056832174,"May 13, 2025 7:45 PM (PDT)",JgwYg/OWFDU+dyFteNFMGqTMB+SahLD71tBozw/7l6o7QX7YY0ga0CaOvF7o3clnheMKNekVzRA4w4s/NxgKfw==,,,REVELSTOKE,V0E2S0,600 1st St W PO  BOX 2370,No,Revelstoke (City of),Liquor Primary,Royal Canadian Legion Branch #46,"ROYAL CANADIAN LEGION, BRANCH NO.  46 (032472)",,
aecbf19f-4573-eb11-b81b-005056832755,"April 2, 2025 3:43 PM (PDT)",Ak4W8S4uIdfZLpadF1Gz16vl2WbD6/MFdp6TFTuzZ9JAzF+oU5qQMIANirWGY97z3qoZPX1xPM9UBrO0/nFGuQ==,,,REVELSTOKE,V0E3K0,2108 Big Eddy Road,No,Revelstoke (City of),Liquor Primary,THINK DRINK PUB INC.,Big Eddy Pub (033015),,
4e7dd2c1-9673-eb11-b81b-005056832174,"May 6, 2025 10:29 PM (PDT)",6HHuJZj9onrEZwM6xnWslmcS5A6w0hcDy2i3ma55whApZb2+R9lkcJ6YHxbf8HEc0Og+4jEfjxGpVz+8yM4CVg==,,,REVELSTOKE,V0E2S0,112 1st St  E,No,Revelstoke (City of),Liquor Primary,Beruschi Enterprises Ltd.,Regent Pub (026941),,
5d02d2c0-bc3d-ec11-b82e-005056838fcd,"February 25, 2025 1:00 AM (PST)",7FEBhUXfxxFZ6VYQNdTdoGwXdafSkn3SGQVZOElSne1ju/HmVTd2CGa2JrPvYaUSuXdRkLh9DLtxbbpP727IEQ==,,,RICHMOND,V6W1E1,7388 No. 6 Road,No,Richmond,Liquor Primary,SAVAGE CREEK GOLF COURSE (2008) LTD.,Savage Creek Golf Course,,
